flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,passenger_count,flight_status,distance_traveled_km,meal_service,in-flight_entertainment,wifi_available,airport_name,airport_city,airport_region,airport_country,arrival_time,airline_code,departure_date,arrival_date
AZ1471,Alitalia,Leonardo da Vinci International,Weihai,China,4:35 AM,Charles de Gaulle,Shreveport,United States,8,93,cancelled,9296,gluten-free,false,true,Nyala Airport,Nyala,SD-11,SD,7:28 PM,AZ,10/15/2026,10/15/2026
EK9724,Emirates,Dubai International,Añatuya,Argentina,7:46 PM,Hamad International,Berekum,Ghana,10,291,delayed,3823,vegan,true,true,Gwaunaru'u Airport,Auki,SB-ML,SB,2:14 PM,EK,2/9/2026,2/9/2026
AI4218,Air India,Indira Gandhi International,Tyresö,Sweden,10:23 AM,Chhatrapati Shivaji International,Kapsan-ŭp,North Korea,10,151,delayed,5396,vegan,true,false,Barranco Minas Airport,Barranco Minas,CO-CUN,CO,3:14 AM,AI,12/22/2026,12/22/2026
KE5298,Korean Air,Incheon International,Krajan Kedungsalam,Indonesia,5:24 PM,Changi,Doubravice nad Svitavou,Czech Republic,10,422,delayed,3090,regular,true,false,Qionghai Bo'ao Airport,Qionghai,CN-46,CN,5:02 AM,KE,8/11/2026,8/11/2026
LA4827,LATAM Airlines,São Paulo/Guarulhos International,Huanghua,China,3:13 AM,Frankfurt Airport,Gayam,Indonesia,6,117,delayed,3871,vegan,true,true,Ames Municipal Airport,Ames,US-IA,US,7:05 AM,LA,1/2/2027,1/2/2027
IB8524,Iberia,Adolfo Suárez Madrid–Barajas,Weekombaka,Indonesia,4:56 AM,Charles de Gaulle,Maromitsa,Russia,8,248,cancelled,7317,regular,true,false,Pakuba Airfield,Kabalega Falls,UG-409,UG,2:18 AM,IB,3/6/2026,3/6/2026
UA6595,United Airlines,Los Angeles International,Calvário,Portugal,7:50 AM,San Francisco International,Kosmach,Ukraine,10,333,cancelled,7918,vegetarian,true,false,Lumbala Airport,Lumbala,AO-MOX,AO,3:43 AM,UA,1/9/2027,1/9/2027
AI1979,Air India,Indira Gandhi International,Consolacion,Philippines,12:47 AM,Chhatrapati Shivaji International,Khanabad,Afghanistan,6,128,cancelled,8177,regular,false,true,Diamantina Lakes Airport,Diamantina Lakes,AU-QLD,AU,5:29 AM,AI,8/30/2026,8/30/2026
SK4443,SAS Scandinavian,Copenhagen Airport,Nantang,China,7:10 AM,Melbourne Airport,Zhushan,China,2,147,on-time,6484,regular,false,false,Sodankyla Airport,Sodankyla,FI-LL,FI,7:04 AM,SK,9/15/2026,9/15/2026
AV6156,Avianca,El Dorado International,Ahmadpur Siāl,Pakistan,1:19 PM,O'Hare International,Zhuangtou,China,1,464,delayed,3349,vegetarian,false,false,Portland Hillsboro Airport,Portland,US-OR,US,5:16 AM,AV,6/2/2026,6/2/2026
AI3981,Air India,Indira Gandhi International,Pueblo Nuevo,Venezuela,8:47 PM,Chhatrapati Shivaji International,Timrat,Israel,6,60,delayed,8171,gluten-free,false,true,Hami Airport,Hami,CN-65,CN,4:17 PM,AI,10/21/2026,10/21/2026
LA7850,LATAM Airlines,São Paulo/Guarulhos International,Saint-Brieuc,France,2:45 AM,Ministro Pistarini International,Karangharjo,Indonesia,7,390,on-time,8527,regular,false,false,Burns Municipal Airport,Burns,US-OR,US,6:45 PM,LA,5/9/2026,5/9/2026
AV8175,Avianca,El Dorado International,San Nicolás,Honduras,10:44 AM,O'Hare International,Mueang Phuket,Thailand,2,241,delayed,1263,vegetarian,false,false,Paraburdoo Airport,Paraburdoo,AU-WA,AU,10:07 PM,AV,12/1/2026,12/1/2026
TG4154,Thai Airways,Suvarnabhumi,Wiri,New Zealand,11:38 PM,Changi,Beigucheng,China,10,139,cancelled,478,regular,true,true,Ruse Airport,Ruse,BG-18,BG,4:42 AM,TG,7/16/2026,7/16/2026
NH4286,All Nippon Airways,Haneda,Nakhon Nayok,Thailand,6:37 AM,San Francisco International,Jiupu,China,3,239,delayed,6305,gluten-free,false,false,Sarzana-Luni Air Base,Sarzana (SP),IT-42,IT,12:48 AM,NH,9/30/2026,9/30/2026
BA7019,British Airways,Heathrow,Novoaleksandrovsk,Russia,3:59 AM,Charles de Gaulle,Sanandaj,Iran,6,170,cancelled,3970,gluten-free,true,false,South Caicos Airport,,TC-SC,TC,3:36 PM,BA,2/5/2026,2/5/2026
AZ7903,Alitalia,Leonardo da Vinci International,Yidao,China,1:04 AM,Charles de Gaulle,Iaçu,Brazil,7,168,delayed,6840,vegetarian,false,true,Jacksonville International Airport,Jacksonville,US-FL,US,12:59 AM,AZ,8/20/2026,8/20/2026
KE8449,Korean Air,Incheon International,Baitang,China,1:48 PM,Suvarnabhumi,Yangliu,China,6,224,delayed,4832,vegan,true,true,Madison Municipal Airport,Madison,US-SD,US,10:05 PM,KE,11/26/2026,11/26/2026
SA3457,South African Airways,O.R. Tambo International,Seaton,United Kingdom,4:49 PM,Chhatrapati Shivaji International,Javhlant,Mongolia,1,181,delayed,4984,gluten-free,true,true,King Island Airport,,AU-TAS,AU,9:32 PM,SA,11/14/2026,11/14/2026
SA7753,South African Airways,O.R. Tambo International,Marne-la-Vallée,France,4:29 AM,Charles de Gaulle,Heshe,China,9,477,cancelled,4920,vegetarian,false,false,Belaga Airport,Belaga,MY-13,MY,6:49 PM,SA,10/8/2026,10/8/2026
UA6679,United Airlines,Los Angeles International,São José dos Campos,Brazil,1:24 AM,Ministro Pistarini International,Karang Kulon,Indonesia,5,96,delayed,2555,regular,true,true,St Augustin Airport,St-Augustin,CA-QC,CA,2:58 AM,UA,7/26/2026,7/26/2026
BA9450,British Airways,Heathrow,Shiwan,China,11:25 AM,Charles de Gaulle,Nouâdhibou,Mauritania,3,222,on-time,4210,gluten-free,false,false,Touat Cheikh Sidi Mohamed Belkebir Airport,,DZ-01,DZ,3:08 PM,BA,3/31/2026,3/31/2026
QF1326,Qantas,Sydney Airport,Puma,Tanzania,4:59 AM,Melbourne Airport,Kainan,Japan,2,496,delayed,7122,gluten-free,true,true,Nelson Ribeiro Guimarães Airport,Caldas Novas,BR-GO,BR,11:11 AM,QF,11/9/2026,11/9/2026
KE5476,Korean Air,Incheon International,Rakitnoye,Russia,1:53 AM,Vancouver International,Moyogalpa,Nicaragua,7,6,on-time,8461,vegetarian,false,false,Ambatolhy Airport,Ambatolahy,MG-U,MG,3:27 PM,KE,7/21/2026,7/21/2026
ET8460,Ethiopian Airlines,Bole International,Estância,Brazil,8:30 PM,Hamad International,Dongxiang,China,1,201,cancelled,7377,regular,true,false,Dios Airport,Dios,PG-NSB,PG,12:51 AM,ET,11/1/2026,11/1/2026
AZ7615,Alitalia,Leonardo da Vinci International,San Antonio Ilotenango,Guatemala,3:31 AM,Charles de Gaulle,Uvarovka,Russia,3,182,cancelled,8928,vegan,true,true,Hunt Field,Lander,US-WY,US,11:31 AM,AZ,4/16/2026,4/16/2026
CX7980,Cathay Pacific,Hong Kong International,Kamensk-Ural’skiy,Russia,4:41 PM,Changi,Dipayal,Nepal,11,141,on-time,9082,vegetarian,false,true,Asosa Airport,Asosa,ET-BE,ET,2:56 PM,CX,12/17/2026,12/17/2026
ET4086,Ethiopian Airlines,Bole International,Frakulla e Madhe,Albania,10:03 PM,Hamad International,Zhongmen,China,10,138,delayed,681,vegetarian,true,false,Garden Point Airport,,AU-NT,AU,4:38 PM,ET,3/27/2026,3/27/2026
QR7511,Qatar Airways,Hamad International,Oulmes,Morocco,11:36 PM,Bole International,Usquil,Peru,3,487,cancelled,6577,regular,false,false,Klaipėda Airport,Klaipėda,LT-KL,LT,3:30 PM,QR,12/12/2026,12/12/2026
AI6681,Air India,Indira Gandhi International,Jalālpur Pīrwāla,Pakistan,2:15 AM,Chhatrapati Shivaji International,Kainantu,Papua New Guinea,11,475,delayed,7056,vegetarian,false,true,Diamantina Lakes Airport,Diamantina Lakes,AU-QLD,AU,4:49 AM,AI,12/24/2026,12/24/2026
QF1731,Qantas,Sydney Airport,Tsimlyansk,Russia,5:45 PM,Melbourne Airport,Neẖalim,Israel,4,273,on-time,7651,regular,false,true,Torembi Airport,Torembi,PG-ESW,PG,2:33 AM,QF,5/5/2026,5/5/2026
AI3538,Air India,Indira Gandhi International,Joinville,Brazil,4:16 PM,Chhatrapati Shivaji International,Quinchía,Colombia,4,126,cancelled,3850,regular,false,false,Boana Airport,Boana,PG-MPL,PG,1:14 AM,AI,2/16/2026,2/16/2026
TG8460,Thai Airways,Suvarnabhumi,Huapi,China,2:13 PM,Kuala Lumpur International,Arauco,Chile,11,280,delayed,4593,vegetarian,true,true,"Châteauroux-Déols ""Marcel Dassault"" Airport",Châteauroux/Déols,FR-F,FR,3:26 AM,TG,5/5/2026,5/5/2026
IB8280,Iberia,Adolfo Suárez Madrid–Barajas,Nyanza,Rwanda,8:45 PM,Munich Airport,Atalhada,Portugal,10,65,delayed,8916,gluten-free,false,false,La Coloma Airport,Pinar del Rio,CU-01,CU,11:54 PM,IB,12/8/2026,12/8/2026
NZ7379,Air New Zealand,Auckland Airport,Vila Franca,Portugal,3:29 PM,Sydney Airport,Moravská Nová Ves,Czech Republic,1,212,on-time,9973,regular,false,true,Banjul International Airport,Banjul,GM-W,GM,5:55 AM,NZ,4/8/2026,4/8/2026
AZ1037,Alitalia,Leonardo da Vinci International,Gaphatshwe,Botswana,8:36 PM,Charles de Gaulle,Kalde Panga,Indonesia,2,454,cancelled,4862,regular,true,false,Liupanshui Yuezhao Airport,Liupanshui,CN-52,CN,6:59 PM,AZ,6/5/2026,6/5/2026
IB1302,Iberia,Adolfo Suárez Madrid–Barajas,Sinuknipan,Philippines,4:18 PM,Dubai International,Calçada,Portugal,7,93,delayed,7782,vegan,true,true,Emo River Airstrip,Emo Mission,PG-NPP,PG,7:13 PM,IB,7/11/2026,7/11/2026
NH9393,All Nippon Airways,Haneda,Chazón,Argentina,2:32 AM,Incheon International,Longtan,China,5,182,on-time,4267,vegetarian,false,true,Vanimo Airport,Vanimo,PG-SAN,PG,9:58 AM,NH,12/16/2026,12/16/2026
UA3397,United Airlines,Los Angeles International,Shashūbay,Kazakhstan,2:46 PM,San Francisco International,Achadinha,Portugal,2,491,delayed,3402,vegan,false,true,Agnew Airport,Agnew,AU-QLD,AU,9:11 AM,UA,12/14/2026,12/14/2026
BA2815,British Airways,Heathrow,Vakhtan,Russia,2:45 AM,Munich Airport,Linhu,China,6,317,delayed,5660,vegetarian,false,false,Whitianga Airport,,NZ-WKO,NZ,11:35 AM,BA,9/17/2026,9/17/2026
IB3890,Iberia,Adolfo Suárez Madrid–Barajas,Sierpc,Poland,5:49 AM,Charles de Gaulle,Waiwukak,Indonesia,11,418,on-time,8995,gluten-free,false,false,Idiofa Airport,Idiofa,CD-BN,CD,8:59 PM,IB,3/16/2026,3/16/2026
WN3384,Southwest Airlines,Los Angeles International,Piuí,Brazil,9:53 PM,Seattle-Tacoma International,Curitiba,Brazil,2,115,on-time,5540,regular,true,true,Tununak Airport,Tununak,US-AK,US,1:33 AM,WN,6/22/2026,6/22/2026
AV4964,Avianca,El Dorado International,Zhangbei,China,6:18 AM,O'Hare International,Qiancheng,China,3,177,on-time,465,vegetarian,true,true,Downtown Airpark,Oklahoma City,US-OK,US,11:39 PM,AV,11/24/2026,11/24/2026
EK5091,Emirates,Dubai International,Niugan,Philippines,11:38 PM,Hamad International,Dahe,China,2,264,delayed,9095,gluten-free,false,true,Hiroshima Airport,Hiroshima,JP-34,JP,2:20 AM,EK,5/25/2026,5/25/2026
EK8650,Emirates,Dubai International,Waiwejak,Indonesia,2:14 PM,Hamad International,Karkkila,Finland,11,8,cancelled,4846,vegan,true,false,Tottori Airport,Tottori,JP-31,JP,2:15 AM,EK,1/3/2027,1/3/2027
LH9308,Lufthansa,Frankfurt Airport,Warsaw,Poland,9:43 PM,Charles de Gaulle,Jām Sāhib,Pakistan,7,150,delayed,1391,regular,true,true,Mount Gordon Airport,Mount Gordon Mine,AU-QLD,AU,2:14 AM,LH,1/11/2027,1/11/2027
SA2449,South African Airways,O.R. Tambo International,Vohibinany,Madagascar,12:36 AM,Charles de Gaulle,Longgang,China,10,289,on-time,6094,vegetarian,false,true,Valenciennes-Denain Airport,Valenciennes/Denain,FR-O,FR,10:06 PM,SA,12/3/2026,12/3/2026
SQ5181,Singapore Airlines,Changi,Manalongon,Philippines,1:29 PM,Hong Kong International,Chodów,Poland,7,341,delayed,3847,regular,false,true,Leknes Airport,Leknes,NO-18,NO,9:30 PM,SQ,3/19/2026,3/19/2026
LH6645,Lufthansa,Frankfurt Airport,Severodvinsk,Russia,2:23 AM,Brisbane Airport,Cihampelas,Indonesia,8,293,cancelled,5736,vegan,true,false,Alama Iqbal International Airport,Lahore,PK-PB,PK,7:12 PM,LH,5/29/2026,5/29/2026
AZ9023,Alitalia,Leonardo da Vinci International,Sacramento,United States,11:59 AM,Charles de Gaulle,Likhovskoy,Russia,1,300,cancelled,3007,vegetarian,false,false,Raroia Airport,,PF-U-A,PF,12:11 PM,AZ,2/25/2026,2/25/2026
DL9764,Delta Air Lines,John F. Kennedy International,Castro Daire,Portugal,2:05 PM,Hartsfield-Jackson Atlanta,Naschel,Argentina,10,474,delayed,934,gluten-free,true,false,Uvol Airport,Uvol,PG-EBR,PG,8:34 PM,DL,11/30/2026,11/30/2026
IB3960,Iberia,Adolfo Suárez Madrid–Barajas,Zhulebino,Russia,11:26 PM,Charles de Gaulle,Blagoevgrad,Bulgaria,11,22,on-time,5759,regular,true,true,Kitale Airport,Kitale,KE-700,KE,12:33 AM,IB,9/26/2026,9/26/2026
AM6488,Aeroméxico,Benito Juárez International,Novais,Portugal,3:51 AM,O'Hare International,La Dicha,Philippines,2,311,on-time,2410,vegan,false,true,Chimoio Airport,Chimoio,MZ-B,MZ,6:57 AM,AM,1/1/2027,1/1/2027
EK9924,Emirates,Dubai International,Huata,Peru,2:00 PM,Hamad International,Matou,China,6,177,on-time,1467,regular,true,false,West 30th St. Heliport,New York,US-NY,US,3:02 AM,EK,3/17/2026,3/17/2026
SQ6943,Singapore Airlines,Changi,Bol’shoy Kamen’,Russia,12:20 PM,Beijing Capital International,Toktogul,Kyrgyzstan,5,376,delayed,1446,gluten-free,true,true,Bamiyan Airport,Bamiyan,AF-BAM,AF,6:30 AM,SQ,2/11/2026,2/11/2026
BA1583,British Airways,Heathrow,Rūjayb,Palestinian Territory,11:13 PM,Charles de Gaulle,Pamiątkowo,Poland,6,230,on-time,1834,vegan,false,false,Hobart Regional Airport,Hobart,US-OK,US,11:21 AM,BA,3/16/2026,3/16/2026
BA1624,British Airways,Heathrow,El Cantón de San Pablo,Colombia,5:03 PM,Amsterdam Airport Schiphol,Areado,Brazil,5,349,delayed,6284,regular,true,true,Grants Pass Airport,Grants Pass,US-OR,US,3:53 AM,BA,2/8/2026,2/8/2026
SQ8804,Singapore Airlines,Changi,El Vigía,Venezuela,12:34 PM,Beijing Capital International,Dongla,China,6,424,cancelled,6329,vegetarian,true,false,Balranald Airport,,AU-NSW,AU,6:00 AM,SQ,10/17/2026,10/17/2026
AF1454,Air France,Charles de Gaulle,Yaoundé,Cameroon,3:54 AM,Frankfurt Airport,Néos Skopós,Greece,10,52,delayed,1931,vegan,false,false,Fáskrúðsfjörður Airport,Fáskrúðsfjörður,IS-7,IS,5:45 AM,AF,11/19/2026,11/19/2026
BA6099,British Airways,Heathrow,Haninge,Sweden,9:05 PM,Hamad International,Jugezhuang,China,9,342,on-time,4247,regular,false,true,Kalamata Airport,Kalamata,GR-17,GR,12:09 AM,BA,12/3/2026,12/3/2026
CX6909,Cathay Pacific,Hong Kong International,Huaqiao,China,5:21 AM,Changi,Wuqishan,China,1,487,cancelled,2971,vegan,true,false,Soroako Airport,Soroako-Celebes Island,ID-SN,ID,3:06 AM,CX,3/20/2026,3/20/2026
DL6412,Delta Air Lines,John F. Kennedy International,Jardim da Serra,Portugal,1:08 AM,Hartsfield-Jackson Atlanta,Bohutín,Czech Republic,8,55,cancelled,199,gluten-free,false,false,Dirranbandi Airport,,AU-QLD,AU,1:09 AM,DL,7/15/2026,7/15/2026
CX7381,Cathay Pacific,Hong Kong International,Listowel,Ireland,10:29 PM,Copenhagen Airport,Oslo,Norway,4,202,cancelled,4258,regular,false,true,Cheikh Larbi Tébessi Airport,Tébessi,DZ-12,DZ,1:14 AM,CX,6/11/2026,6/11/2026
KE9732,Korean Air,Incheon International,Panjir,Indonesia,7:28 AM,Haneda,Guaporé,Brazil,7,280,cancelled,4092,gluten-free,true,true,Rurutu Airport,,PF-U-A,PF,7:47 PM,KE,5/7/2026,5/7/2026
TG6514,Thai Airways,Suvarnabhumi,Budta,Philippines,11:27 PM,Changi,Bang Bon,Thailand,9,142,delayed,8789,gluten-free,false,true,Valle Airport,Grand Canyon,US-AZ,US,9:50 PM,TG,3/18/2026,3/18/2026
QF3006,Qantas,Sydney Airport,Altavista,Mexico,11:12 PM,Melbourne Airport,Piława Górna,Poland,11,277,on-time,8847,vegan,false,false,Aarhus Airport,Aarhus,DK-82,DK,2:22 PM,QF,2/18/2026,2/18/2026
EK5965,Emirates,Dubai International,Jevišovice,Czech Republic,5:26 AM,Hamad International,Xiamujiao,China,8,396,delayed,1945,gluten-free,true,true,Rouyn Noranda Airport,Rouyn-Noranda,CA-QC,CA,2:26 AM,EK,3/18/2026,3/18/2026
ET5433,Ethiopian Airlines,Bole International,Gojō,Japan,7:20 PM,Frankfurt Airport,Qianyou,China,6,234,cancelled,5694,gluten-free,false,false,Siem Reap International Airport,Siem Reap,KH-17,KH,12:44 PM,ET,3/13/2026,3/13/2026
BA9479,British Airways,Heathrow,Kokkinóchoma,Greece,2:05 AM,Charles de Gaulle,San Miguel Ixtahuacán,Guatemala,10,193,delayed,633,gluten-free,false,true,Conroe-North Houston Regional Airport,Houston,US-TX,US,11:09 AM,BA,10/25/2026,10/25/2026
IB8675,Iberia,Adolfo Suárez Madrid–Barajas,Bangui,Philippines,9:55 AM,Charles de Gaulle,Semampir,Indonesia,3,354,delayed,5519,gluten-free,false,true,Tomanggong Airport,Tomanggong,MY-12,MY,3:55 AM,IB,4/28/2026,4/28/2026
WN9690,Southwest Airlines,Los Angeles International,Loma Bonita,Mexico,10:28 PM,San Francisco International,Zhonghe,China,9,264,cancelled,6451,regular,true,true,Cotulla-La Salle County Airport,Cotulla,US-TX,US,10:42 AM,WN,6/1/2026,6/1/2026
BA7617,British Airways,Heathrow,Gradac,Croatia,8:20 PM,Charles de Gaulle,Töreboda,Sweden,9,221,on-time,6466,vegetarian,false,true,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,US-TX,US,1:36 PM,BA,4/2/2026,4/2/2026
AF8392,Air France,Charles de Gaulle,Vale da Serra,Portugal,5:37 AM,Frankfurt Airport,The Valley,Anguilla,2,107,cancelled,1514,gluten-free,true,true,Bosaso Airport,Bosaso,SO-BR,SO,12:11 AM,AF,8/25/2026,8/25/2026
SQ5679,Singapore Airlines,Changi,Kalapadua,Indonesia,12:54 PM,Beijing Capital International,Troitsk,Russia,10,320,on-time,1069,regular,false,true,Bitam Airport,Bitam,GA-9,GA,5:41 PM,SQ,5/31/2026,5/31/2026
KE5876,Korean Air,Incheon International,Taraju,Indonesia,5:32 PM,Amsterdam Airport Schiphol,Tsingoni,Mayotte,3,329,on-time,611,gluten-free,true,true,Shaikh Zaid Airport,Rahim Yar Khan,PK-PB,PK,6:48 AM,KE,9/8/2026,9/8/2026
WN4429,Southwest Airlines,Los Angeles International,Włosienica,Poland,11:03 PM,San Francisco International,Yāsūf,Palestinian Territory,10,458,cancelled,5194,vegetarian,false,false,Eagle River Union Airport,Eagle River,US-WI,US,2:14 AM,WN,11/12/2026,11/12/2026
ET1457,Ethiopian Airlines,Bole International,Zaniemyśl,Poland,12:19 PM,Hamad International,Runka,Nigeria,2,325,on-time,7448,vegan,true,true,Key Field,Meridian,US-MS,US,2:49 PM,ET,8/29/2026,8/29/2026
LA9817,LATAM Airlines,São Paulo/Guarulhos International,Doba,Chad,5:20 PM,Toronto Pearson,Saubara,Brazil,7,473,cancelled,2717,vegan,true,false,Lianyungang Airport,Lianyungang,CN-32,CN,1:13 PM,LA,8/29/2026,8/29/2026
LH7416,Lufthansa,Frankfurt Airport,‘Ayn al ‘Arab,Syria,9:58 PM,Charles de Gaulle,Vom,Nigeria,11,97,cancelled,6580,gluten-free,true,false,Taloyoak Airport,Taloyoak,CA-NU,CA,3:20 AM,LH,9/17/2026,9/17/2026
NZ6009,Air New Zealand,Auckland Airport,Chebba,Tunisia,10:39 PM,Haneda,Dukoh,Indonesia,11,92,cancelled,1315,regular,false,true,Biskra Airport,Biskra,DZ-07,DZ,5:15 PM,NZ,10/26/2026,10/26/2026
TG3333,Thai Airways,Suvarnabhumi,Libertador General San Martín,Argentina,2:25 AM,Sydney Airport,Villa Aglipay,Philippines,11,116,delayed,1917,regular,false,true,Black Hills Airport-Clyde Ice Field,Spearfish,US-SD,US,7:32 PM,TG,6/11/2026,6/11/2026
KL1655,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Luo’ao,China,8:39 AM,Charles de Gaulle,Phra Phrom,Thailand,4,480,on-time,1873,regular,true,true,Le Mans-Arnage Airport,Le Mans/Arnage,FR-R,FR,8:13 PM,KL,6/24/2026,6/24/2026
IB6826,Iberia,Adolfo Suárez Madrid–Barajas,Lyon,France,9:49 PM,Charles de Gaulle,Akkol’,Kazakhstan,2,34,delayed,2913,vegetarian,true,true,Clinton County Airport,Plattsburgh,US-NY,US,12:35 PM,IB,8/27/2026,8/27/2026
AA2358,American Airlines,John F. Kennedy International,Vale de Santarém,Portugal,9:15 AM,Vancouver International,Kampungsusah,Indonesia,5,158,cancelled,1680,gluten-free,true,true,Pulau Panjang Airport,Jakarta,ID-JB,ID,8:03 AM,AA,6/4/2026,6/4/2026
ET9491,Ethiopian Airlines,Bole International,Haibara,Japan,12:53 AM,Hamad International,Longshi,China,1,161,on-time,427,vegetarian,true,true,Zachar Bay Seaplane Base,Zachar Bay,US-AK,US,1:27 AM,ET,7/4/2026,7/4/2026
SQ4019,Singapore Airlines,Changi,Sausa,Peru,5:48 PM,Beijing Capital International,Okocim,Poland,1,255,cancelled,1513,regular,false,true,John C. Munro Hamilton International Airport,Hamilton,CA-ON,CA,5:02 AM,SQ,7/5/2026,7/5/2026
NH2700,All Nippon Airways,Haneda,Canauay,Philippines,1:00 PM,Incheon International,Hénin-Beaumont,France,4,218,cancelled,7223,vegetarian,true,true,Tak Airport,,TH-63,TH,7:20 PM,NH,1/28/2026,1/28/2026
AI1813,Air India,Indira Gandhi International,Hengtanggang,China,8:03 AM,Dubai International,Luozhou,China,9,421,on-time,1808,vegan,false,false,Tsletsi Airport,Djelfa,DZ-17,DZ,6:03 PM,AI,3/1/2026,3/1/2026
LA8013,LATAM Airlines,São Paulo/Guarulhos International,Kacha,Ukraine,11:19 AM,Changi,Bacnotan,Philippines,2,285,delayed,7194,vegan,false,true,Warwick Airport,,AU-QLD,AU,12:25 PM,LA,12/30/2026,12/30/2026
CX6637,Cathay Pacific,Hong Kong International,Żernica,Poland,1:53 AM,Charles de Gaulle,Lanyi,China,2,362,delayed,5590,vegetarian,true,true,Priština International Airport,Prishtina,XK-01,XK,11:23 PM,CX,9/2/2026,9/2/2026
AM2515,Aeroméxico,Benito Juárez International,Licheng,China,12:49 AM,Adolfo Suárez Madrid–Barajas,Mikhaylovsk,Russia,2,360,cancelled,5822,vegan,false,true,Collie Airport,Collie,AU-WA,AU,8:21 AM,AM,4/17/2026,4/17/2026
LA8222,LATAM Airlines,São Paulo/Guarulhos International,Caacupé,Paraguay,6:50 AM,Ministro Pistarini International,Dalupirip,Philippines,6,429,cancelled,7043,vegan,false,true,Arturo Michelena International Airport,Valencia,VE-G,VE,12:07 AM,LA,8/22/2026,8/22/2026
QF8775,Qantas,Sydney Airport,Sūrīān,Iran,1:01 AM,Haneda,Birendranagar,Nepal,10,268,delayed,7462,vegan,true,true,Talakan Airport,Talakan Oil Field,RU-SA,RU,7:33 PM,QF,4/25/2026,4/25/2026
KL9596,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Nanton,Canada,11:15 AM,Charles de Gaulle,Delgado,El Salvador,11,442,cancelled,1162,vegetarian,false,true,Kigoma Airport,Kigoma,TZ-08,TZ,4:07 AM,KL,3/27/2026,3/27/2026
SA1576,South African Airways,O.R. Tambo International,Kronoby,Finland,11:05 AM,Leonardo da Vinci International,Francisco I Madero,Mexico,5,310,on-time,3916,vegan,true,true,Michigan City Municipal Airport,Michigan City,US-IN,US,10:38 PM,SA,6/23/2026,6/23/2026
KL6466,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Bu‘eina,Israel,4:15 AM,Charles de Gaulle,Frankfurt am Main,Germany,7,174,cancelled,2218,regular,true,true,Hingurakgoda Air Force Base,Polonnaruwa Town,LK-7,LK,11:01 AM,KL,4/28/2026,4/28/2026
ET3500,Ethiopian Airlines,Bole International,Oehala,Indonesia,1:04 PM,Frankfurt Airport,Milići,Bosnia and Herzegovina,8,74,delayed,3855,vegetarian,true,true,Fréjus Airport,Fréjus,FR-U,FR,10:27 PM,ET,11/11/2026,11/11/2026
CX6613,Cathay Pacific,Hong Kong International,Huanuni,Bolivia,11:23 AM,Changi,Ashtarak,Armenia,2,123,on-time,6440,vegetarian,false,false,Nullabor Motel Airport,,AU-SA,AU,7:38 PM,CX,9/13/2026,9/13/2026
TG6129,Thai Airways,Suvarnabhumi,Santiago De Compostela,Spain,2:02 PM,Changi,Cipesing,Indonesia,11,147,cancelled,8090,vegan,false,true,Perry Lefors Field,Pampa,US-TX,US,6:16 PM,TG,5/12/2026,5/12/2026
AA2277,American Airlines,John F. Kennedy International,Yucheng,China,3:28 AM,Hartsfield-Jackson Atlanta,Talok,Indonesia,3,330,delayed,3664,gluten-free,true,false,Fremont County Airport,Cañon City,US-CO,US,8:18 AM,AA,5/7/2026,5/7/2026
AM6860,Aeroméxico,Benito Juárez International,Guanxi,China,2:36 PM,O'Hare International,Chixi,China,1,174,delayed,3312,vegetarian,false,true,East Hampton Airport,East Hampton,US-NY,US,1:17 AM,AM,1/22/2026,1/22/2026
BA9697,British Airways,Heathrow,Shorko,Pakistan,1:37 AM,Frankfurt Airport,Profítis Ilías,Greece,2,154,on-time,8149,vegan,false,true,Summer Beaver Airport,Summer Beaver,CA-ON,CA,8:03 PM,BA,6/25/2026,6/25/2026
CX6238,Cathay Pacific,Hong Kong International,Libertad,Mexico,9:37 AM,Changi,Carson City,United States,10,430,delayed,3826,vegetarian,false,true,Celaque Airport,Gracias,HN-LE,HN,1:43 AM,CX,12/7/2026,12/7/2026
IB4796,Iberia,Adolfo Suárez Madrid–Barajas,Gongli,China,2:09 AM,Charles de Gaulle,Rrapë,Albania,1,85,delayed,8745,vegetarian,true,false,Ta'izz International Airport,Ta'izz,YE-TA,YE,2:36 PM,IB,11/30/2026,11/30/2026
AF9449,Air France,Charles de Gaulle,Ajman,United Arab Emirates,4:20 AM,Vienna International,Hörby,Sweden,3,70,delayed,9199,regular,true,true,Ingham Airport,,AU-QLD,AU,2:00 AM,AF,9/11/2026,9/11/2026
NZ9504,Air New Zealand,Auckland Airport,Kanada,Indonesia,4:51 AM,Sydney Airport,Chrastava,Czech Republic,2,168,delayed,8449,vegetarian,false,false,Helmuth Baungarten Airport,Lontras,BR-SC,BR,6:35 AM,NZ,2/15/2026,2/15/2026
